indicator_id,geo_type_id,geo_entity_id,year_id,data_value,unreliability_flag
375,17,101,36,33.3,0
375,17,102,36,32.1,0
375,17,103,36,32.4,0
375,17,104,36,34.7,0
375,17,105,36,40.3,0
375,17,106,36,36.8,0
375,17,107,36,26.1,0
375,17,108,36,33.2,0
375,17,109,36,24.3,0
375,17,110,36,26.6,0
375,17,111,36,29.4,0
375,17,112,36,27.3,0
375,17,201,36,27.2,0
375,17,202,36,23.3,0
375,17,203,36,22.8,0
375,17,204,36,28.4,0
375,17,205,36,28.1,0
375,17,206,36,24,0
375,17,207,36,23.7,0
375,17,208,36,18,0
375,17,209,36,22.6,0
375,17,210,36,19.6,0
375,17,211,36,20.2,0
375,17,212,36,18.2,0
375,17,301,36,24.1,0
375,17,302,36,28.2,0
375,17,303,36,24.6,0
375,17,304,36,22.7,0
375,17,305,36,21.6,0
375,17,306,36,24.9,0
375,17,307,36,22.7,0
375,17,308,36,25.9,0
375,17,309,36,24.5,0
375,17,310,36,20.5,0
375,17,311,36,20.4,0
375,17,312,36,21.9,0
375,17,313,36,18.1,0
375,17,314,36,23.4,0
375,17,315,36,18.7,0
375,17,316,36,27,0
375,17,317,36,26.4,0
375,17,318,36,19.3,0
375,17,401,36,20.7,0
375,17,402,36,26,0
375,17,403,36,23.7,0
375,17,404,36,26.1,0
375,17,405,36,21.5,0
375,17,406,36,24.6,0
375,17,407,36,19.7,0
375,17,408,36,22.1,0
375,17,409,36,20.6,0
375,17,410,36,19.7,0
375,17,411,36,19.7,0
375,17,412,36,20.6,0
375,17,413,36,19.1,0
375,17,414,36,15.1,0
375,17,501,36,16.2,0
375,17,502,36,15.6,0
375,17,503,36,13.3,0
